id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
279222,Beautiful 105sqm. Flat besides Park,1456393,Johanna,Pankow,Blankenfelde/Niederschönhausen,52.5771050390231,13.400070344747487,Entire home/apt,49,18,1,2014-06-10,0.05,1,0
9258549,gemütliches Zimmer mit Balkon,48098445,Johanna,Pankow,Blankenfelde/Niederschönhausen,52.57896886871924,13.399527477929261,Private room,30,1,0,,,1,0
7568544,familienfreundliche Altbauwohnung,39056052,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.57958124947871,13.402655654804162,Entire home/apt,69,3,3,2016-01-05,0.56,2,16
5016956,Charmantes  Apartment in Pankow ,25878802,Lena,Pankow,Blankenfelde/Niederschönhausen,52.57685414196279,13.393963050671882,Entire home/apt,40,2,5,2015-09-28,0.49,2,352
2743361,Gemütliches Gartenhaus in Pankow,14035633,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.582413184376406,13.394491975324074,Entire home/apt,80,2,15,2015-09-08,0.71,1,224
7457210,Große Wohnung für Familien,39056052,Claudia,Pankow,Blankenfelde/Niederschönhausen,52.579873971369686,13.40044824636479,Entire home/apt,80,3,0,,,2,16
8611600,Schönes Zimmer in Berlin Rosenthal,45301506,Ugi,Pankow,Blankenfelde/Niederschönhausen,52.59332254197531,13.40007735289034,Private room,30,1,4,2016-01-02,1.04,1,180
1153584,Ferienwohnung Berlin-Pankow,4813229,Ulrike,Pankow,Blankenfelde/Niederschönhausen,52.58921822417372,13.399260586072911,Entire home/apt,50,2,34,2016-01-19,1.18,1,29
7642371,Gareos Himmel,40100342,Gareo,Pankow,Blankenfelde/Niederschönhausen,52.57743039390149,13.400585006823416,Private room,50,1,0,,,1,365
7832750,"Sonniges Zimmer,3. Etage/Altbau",36417780,Lisa,Pankow,Blankenfelde/Niederschönhausen,52.58231232676322,13.395584373495467,Private room,28,1,26,2016-01-20,5.06,1,328
7373422,Ruhiger geräumiger Altbau in Pankow,38630547,Ines,Pankow,Blankenfelde/Niederschönhausen,52.58628359497993,13.408938468128092,Entire home/apt,33,5,0,,,1,0
8533349,Nice cosy room with breakfast,13372093,Edda,Pankow,Blankenfelde/Niederschönhausen,52.587096830064596,13.40133564462431,Private room,30,1,1,2015-12-17,0.60,1,146
4604780,Ruhig im Grünen-schnell in der City,23822141,Jens & Annette,Pankow,Blankenfelde/Niederschönhausen,52.58837027170387,13.42359500032933,Entire home/apt,85,2,6,2015-08-31,0.64,1,335
7777135,Charmante Wohnung im grünen Pankow,40917101,Katja,Pankow,Blankenfelde/Niederschönhausen,52.58304544316499,13.396750502689008,Entire home/apt,75,1,0,,,1,0
10402942,große Ferienwohnung,53565483,Burghardt,Pankow,Blankenfelde/Niederschönhausen,52.5748678891062,13.398947272894507,Entire home/apt,120,2,0,,,1,365
7642523,Family-friendly 2 room apartment,40101010,Steven,Pankow,Blankenfelde/Niederschönhausen,52.590427710710365,13.406947466486173,Entire home/apt,45,2,3,2015-12-07,0.77,1,63
10027737,gemütliche 2 Zimmer Wohnung,50795723,Victoria,Pankow,Blankenfelde/Niederschönhausen,52.57606535768677,13.399548481551959,Entire home/apt,140,1,0,,,1,355
6393652,Künstler-Wohnung 70 € 04.-18.7.2015,33337642,Ulrike,Pankow,Blankenfelde/Niederschönhausen,52.588018686577705,13.401748867023262,Entire home/apt,70,5,0,,,1,0
7658157,"Large, quiet and sunny room&balcony",40195311,Rita,Pankow,Blankenfelde/Niederschönhausen,52.590793698128685,13.403492611636432,Private room,25,1,6,2016-01-02,1.03,1,362
7486709,Wg-Zimmer in zweier WG,39208160,Christian,Pankow,Blankenfelde/Niederschönhausen,52.58887627384369,13.395326991323612,Private room,20,3,3,2015-10-17,0.56,1,0
866332,For the quite global individualist,4551377,Sabine,Pankow,Blankenfelde/Niederschönhausen,52.587891832640366,13.394384211348688,Private room,37,2,4,2015-10-08,0.14,1,88
249464,Stylish apartment in Berlin,1306806,Antje,Pankow,Helmholtzplatz,52.54436719864971,13.41798072941319,Entire home/apt,90,2,33,2015-11-09,0.69,1,74
83614,"Spacious & Elegant Flat, BEST AREA",456085,Andrea,Pankow,Helmholtzplatz,52.546906939587316,13.415366494605346,Entire home/apt,59,1,235,2016-01-28,3.99,3,352
7266627,Berliner Altbau in Central Berlin,37994113,Umberto,Pankow,Helmholtzplatz,52.54646156212955,13.41745930334414,Entire home/apt,40,2,7,2015-11-22,1.21,1,20
8657918,Zwei-Zimmer-Altbauwohnung in Berlin,45496227,Carla,Pankow,Helmholtzplatz,52.54323175325614,13.414473761715302,Entire home/apt,50,7,2,2016-01-26,1.28,1,0
1379728,Quiet 1 1/2-br in Prenzlauer Berg,7345295,Marleen,Pankow,Helmholtzplatz,52.54121717276568,13.424182137030693,Entire home/apt,48,2,31,2016-01-26,1.01,2,73
9498571,"cozy room, 10 minutes to the center",49231378,Nikolas,Pankow,Helmholtzplatz,52.54726529097654,13.414575275168469,Private room,30,3,1,2015-12-29,0.79,1,0
9987404,Habitación 24 m2 en piso 100 m2,43047137,Jorge,Pankow,Helmholtzplatz,52.54163768450085,13.415815044387815,Private room,18,1,0,,,1,1
595348,2rm flat with balcony on Stargarder,603167,Jonathan&Annett,Pankow,Helmholtzplatz,52.546056443838836,13.421461245174557,Entire home/apt,50,4,1,2012-07-27,0.02,2,256
26543,Helmholtzplatz Bright&Spacious Apt.,112675,Terri Low,Pankow,Helmholtzplatz,52.54406239119687,13.421376521988277,Entire home/apt,139,60,117,2016-01-25,1.76,2,343
10086052,Cosy Vintage Design Apartment,51754589,Benedikt,Pankow,Helmholtzplatz,52.54630082492177,13.416471341255615,Entire home/apt,60,2,1,2016-01-03,0.91,1,365
3503814,Cute Studio in Amazing Area,1249642,Juliana,Pankow,Helmholtzplatz,52.54556085008016,13.422120768349727,Entire home/apt,35,60,2,2015-12-01,0.14,26,336
1427405,Great flat at Prenzlauer Berg!,7676986,Wiebke,Pankow,Helmholtzplatz,52.539504422061654,13.420688510454598,Entire home/apt,66,1,4,2015-11-25,0.79,2,364
5844033,"Sunny room in Berlin, best location",30341231,ArtHome,Pankow,Helmholtzplatz,52.54067115505897,13.422938166117822,Private room,29,2,14,2015-12-29,1.52,1,365
342637,Cosy Apartment in Prenzlauer Berg,1738368,Rolf,Pankow,Helmholtzplatz,52.54155872811695,13.422994653806242,Entire home/apt,60,3,70,2016-01-05,1.50,1,232
1232740,Sunny 25 qm room Prenzlauer Berg ,6422948,Dina,Pankow,Helmholtzplatz,52.54082392978849,13.423194738203971,Private room,29,4,5,2015-10-12,0.74,2,356
2186519,SPACIOUS BRIGHT APARTMENT IN BERLIN,11148827,Christoph,Pankow,Helmholtzplatz,52.54434475572853,13.41804972218471,Entire home/apt,64,2,3,2016-01-18,0.40,1,18
3234729,sweet room in an artist flat P-Berg,13258189,Esra,Pankow,Helmholtzplatz,52.540356823379774,13.420436408685672,Private room,30,2,28,2015-08-15,1.40,1,0
10025588,Tolle Wohnung in toller City Lage,25427407,Julia,Pankow,Helmholtzplatz,52.54678954714919,13.418660293417917,Entire home/apt,45,1,0,,,1,0
3558688,Sweet Studio near Helmoltzplatz,17915927,Nicole,Pankow,Helmholtzplatz,52.54295185390874,13.424309014761283,Entire home/apt,40,2,3,2016-01-02,1.50,1,154
819823,3-Room Apartment Prenzlauer Berg A5,704463,Duc Son,Pankow,Helmholtzplatz,52.53929467525263,13.42261869966608,Entire home/apt,70,1,64,2016-01-05,1.67,10,328
8280619,Private Prenzy berg garden paradise,2034980,Farina,Pankow,Helmholtzplatz,52.541136209764566,13.42161766885776,Entire home/apt,120,2,1,2016-01-02,0.88,1,60
2722848,Beautiful Bright and Blessed,13933546,Robert,Pankow,Helmholtzplatz,52.543176537854954,13.418544337091621,Entire home/apt,100,7,5,2016-01-01,0.27,1,0
477515,"Apartment in Prenslauerberg, Mitte,",2366664,Torsten,Pankow,Helmholtzplatz,52.543973392929374,13.419565819803038,Entire home/apt,119,2,78,2015-11-29,1.83,1,284
8149533,Nice & cosy flat (Heart of Berlin),2471415,Kahina,Pankow,Helmholtzplatz,52.53969962746551,13.421766049665182,Entire home/apt,45,1,3,2015-11-29,0.73,2,3
3601585,ARTIST APARTEMENT Prenzlauer Berg,18146632,Michael,Pankow,Helmholtzplatz,52.54378969992474,13.419504040055816,Entire home/apt,45,1,1,2015-10-24,0.29,1,0
639988,Hassle-free flat in Berlin Center,882841,Johannes,Pankow,Helmholtzplatz,52.541525655505716,13.41912054512244,Entire home/apt,65,2,9,2014-06-11,0.24,1,33
4213998,Great sunny apartment in top area,1736709,Andrea,Pankow,Helmholtzplatz,52.54445227909547,13.415294422753766,Entire home/apt,95,2,7,2016-01-02,0.45,1,365
5256244,Cozy Room in prime located Flat,19135815,Alexandre,Pankow,Helmholtzplatz,52.54603192440896,13.414429869818429,Private room,30,5,0,,,2,365
2211492,Cozy 2 room apt Prenzlberg,4108607,Ariane,Pankow,Helmholtzplatz,52.540132708098504,13.422725027591333,Entire home/apt,55,3,4,2016-01-03,0.18,1,6
238527,Apartment Prenzlauer Berg,1250721,Marcus,Pankow,Helmholtzplatz,52.54033404028095,13.418676810838388,Entire home/apt,80,2,11,2015-11-08,0.22,7,324
80259,St. Meze Apartment,363131,Ansgar,Pankow,Helmholtzplatz,52.54258835622762,13.417145089413282,Entire home/apt,73,2,31,2016-01-24,0.88,5,54
9618882,5th floor Prenzlberg with balcony!,49764282,David,Pankow,Helmholtzplatz,52.54394954038522,13.423541864255306,Entire home/apt,40,1,0,,,1,18
253014,2-Room Apartment Prenzlauer Berg A1,704463,Duc Son,Pankow,Helmholtzplatz,52.539387901287796,13.423714657934765,Entire home/apt,55,1,48,2016-02-02,0.94,10,139
7463839,Schlafzimmer in zweier WG,32278467,Mea,Pankow,Helmholtzplatz,52.539954158095725,13.419494739891586,Private room,30,1,4,2016-01-03,0.69,3,0
1572664,Biutiful flat in Prenzlauer Berg,8360534,Alexander,Pankow,Helmholtzplatz,52.544104805023345,13.418373264635179,Entire home/apt,99,2,1,2016-01-03,0.91,1,332
5209897,ZIMMER ZUR BERLINALE,26951949,Thomas,Pankow,Helmholtzplatz,52.543555512500596,13.417453892303067,Private room,39,1,0,,,1,0
1244451,"Beautiful 105 m² apt., supercentral",6783079,Patricia,Pankow,Helmholtzplatz,52.54466750364831,13.42467172120137,Entire home/apt,90,14,2,2015-08-11,0.06,1,58
6513978,Beautiful spacious Berlin apartment,34059018,Richard,Pankow,Helmholtzplatz,52.54220133041698,13.425026642604603,Entire home/apt,60,2,7,2015-11-22,0.95,1,0
231569,Apartment am Helmholtzplatz  im PB,1210739,Nannette,Pankow,Helmholtzplatz,52.54376318837458,13.41959018704358,Entire home/apt,160,2,14,2016-01-04,0.44,1,29
10127196,Family Apartment in Prenzlauer Berg,51971460,Reiner,Pankow,Helmholtzplatz,52.54151959864167,13.419885662550291,Entire home/apt,88,1,6,2016-02-01,6,1,298
3902920,Nice room in Prenzlauer Berg,20210864,Jacob,Pankow,Helmholtzplatz,52.5414616865724,13.4207468563754,Private room,25,1,6,2015-08-21,0.34,1,41
1248502,Apart. in the heart of Prenzlberg,1128184,Antonia,Pankow,Helmholtzplatz,52.54835196310365,13.41599392257755,Entire home/apt,48,3,49,2016-01-30,1.56,1,104
10326238,10 sqm ROOM super central in Berlin,15116552,Eric Nicolas,Pankow,Helmholtzplatz,52.54744306005922,13.4151037091184,Private room,15,1,0,,,2,0
4859555,Cosy Flat in PRENZLAUER BERG,18371666,Alexander Chris,Pankow,Helmholtzplatz,52.540977460804676,13.416909703257016,Entire home/apt,52,3,50,2016-01-08,3.78,3,29
896103,UNDISCOVERED ART APARTMENT,1148219,Deenesh,Pankow,Helmholtzplatz,52.54038510457443,13.415908283599281,Entire home/apt,70,1,57,2015-12-27,1.78,1,63
2504158,Kleines Einzimmerloft 2 Personen,12819301,Kristin,Pankow,Helmholtzplatz,52.54148509822602,13.422503795650501,Entire home/apt,50,1,0,,,1,0
7804902,Cozy room in Prenzlauer Berg,31986552,Anja,Pankow,Helmholtzplatz,52.54096614589041,13.424647058150784,Private room,30,2,0,,,1,0
7051729,Cosy 2room Aptm. in Prenzlauer Berg,36981689,Susa,Pankow,Helmholtzplatz,52.54004820639374,13.417976670674824,Entire home/apt,40,5,0,,,1,2
7685386,Bedroom in great appartment,7676986,Wiebke,Pankow,Helmholtzplatz,52.541878018768415,13.422937287005425,Private room,36,1,0,,,2,308
475566,BERLIN - flair - Prenzlauer Berg,2355317,Michael,Pankow,Helmholtzplatz,52.5463697315716,13.416782968733633,Entire home/apt,50,1,16,2015-09-30,0.53,3,81
8353163,Beautiful apartment in Prenz. Berg,3966243,Gianluca,Pankow,Helmholtzplatz,52.54361755102725,13.422535696744909,Entire home/apt,60,2,5,2015-12-09,1.15,1,8
